date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wtravel_outside_state_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2022-01-29,202204,UT,49,-12.285714285714300,-7.285714285714290,1.1428571428571400,-19.571428571428600,-20.571428571428600,6.857142857142860,164.89000000000000,1116.0,6.0,2233921.0,1831509.0,83.78262648571430,34.30485364285710,60.046336471428600,10.396794114285700,45.81302581428570,22.7,527.0,118.0,4107.0,77.0,3.867437471428570,4.049362285714290,875251.0,49262.0,70069.0,32888.0,103664.0
2022-02-05,202205,UT,49,-10.285714285714300,-5.428571428571430,-0.14285714285714300,-17.142857142857100,-19.0,6.0,173.02571428571400,1008.0,6.0,2252186.0,1849260.0,82.17710645714290,35.956617928571400,56.28288427142860,11.52867107142860,49.7895412,17.0,515.3333333333330,105.33333333333300,4173.0,66.0,2.764508685714290,2.808518457142860,898267.0,23016.0,59073.0,19868.0,79444.0
2022-02-12,202206,UT,49,-7.0,-2.0,16.571428571428600,-12.428571428571400,-18.0,4.857142857142860,179.8957142857140,765.0,4.0,2266860.0,1897878.0,84.56151921428570,33.18353195714290,54.90517551428570,11.84027697142860,49.878765742857100,13.5,461.0,52.666666666666700,4261.0,88.0,2.5101885428571400,2.472139028571430,910900.0,12633.0,59267.0,14864.0,74493.0
2022-02-19,202207,UT,49,-6.142857142857140,-1.5714285714285700,17.714285714285700,-10.857142857142900,-18.0,4.428571428571430,184.97285714285700,509.0,6.0,2278593.0,1915031.0,82.95660677142860,26.842657085714300,49.923338828571400,4.3419979,51.95674195714290,7.5,437.0,30.0,4359.0,98.0,1.5825004714285700,1.6111860714285700,918222.0,7322.0,51084.0,8256.0,59587.0
2022-02-26,202208,UT,49,-6.285714285714290,-7.571428571428570,1.5714285714285700,-10.428571428571400,-22.428571428571400,5.857142857142860,194.9685714285710,353.0,6.0,2281878.0,1920682.0,82.45873231428570,23.608435714285700,44.42103757142860,,51.548684085714300,6.2,432.0,26.666666666666700,4408.0,49.0,1.4844371285714300,1.529525342857140,921956.0,3734.0,41682.0,3925.0,45769.0
2022-03-05,202209,UT,49,-5.714285714285710,-5.142857142857140,16.714285714285700,-10.428571428571400,-17.285714285714300,3.857142857142860,191.87857142857100,306.0,12.0,2284006.0,1923195.0,91.8950967142857,25.844400885714300,44.26460585714290,,63.447234328571400,4.6,435.3333333333330,30.333333333333300,4453.0,45.0,1.6367736142857100,1.6997588,924248.0,2292.0,43394.0,2537.0,46087.0
2022-03-12,202210,UT,49,-8.714285714285710,-8.0,1.7142857142857100,-14.857142857142900,-18.571428571428600,4.571428571428570,194.07428571428600,246.0,14.0,2286362.0,1926170.0,84.02096754285710,16.092021771428600,33.81417227142860,,56.86024705714290,3.6,426.0,18.0,4539.0,86.0,1.5779397285714300,1.5896891,925519.0,1271.0,28970.0,1296.0,30445.0
2022-03-19,202211,UT,49,-6.428571428571430,-6.0,31.142857142857100,-10.714285714285700,-17.857142857142900,3.7142857142857100,206.58285714285700,133.0,18.0,2291193.0,1932334.0,84.46879491428570,12.39557067142860,28.710085185714300,,58.68308738571430,2.5,450.0,47.0,4561.0,22.0,2.4588474,2.365781257142860,926442.0,923.0,35147.0,1183.0,36459.0
2022-03-26,202212,UT,49,-5.142857142857140,-6.285714285714290,53.0,-8.428571428571430,-17.428571428571400,3.142857142857140,182.89142857142900,112.0,8.0,2294708.0,1936874.0,81.24131457142860,13.9347426,26.57274377142860,,60.10658251428570,2.0,406.3333333333330,3.6666666666666700,4702.0,141.0,1.8595236571428600,1.9158819857142900,927296.0,854.0,29632.0,991.0,30722.0
2022-04-02,202213,UT,49,-6.0,-5.142857142857140,52.142857142857100,-8.428571428571430,-17.285714285714300,3.142857142857140,197.73857142857100,75.0,18.0,2300581.0,1944021.0,81.27437045714290,13.629128228571400,21.488195557142900,,59.41341425714290,1.3,403.6666666666670,4.666666666666670,4714.0,12.0,1.7109733428571400,1.8925228142857100,927922.0,626.0,31701.0,934.0,32717.0
2022-04-09,202214,UT,49,-3.7142857142857100,-6.285714285714290,65.28571428571430,-6.714285714285710,-25.0,3.4285714285714300,204.9985714285710,80.0,13.0,2303629.0,1947243.0,80.81526344285710,5.9008034714285700,21.664778657142900,,57.521762385714300,1.5,377.0,0.0,4730.0,16.0,1.7885187571428600,1.7096417142857100,928621.0,699.0,20706.0,762.0,21498.0
2022-04-16,202215,UT,49,-5.142857142857140,-2.4285714285714300,43.42857142857140,-10.0,-18.714285714285700,3.142857142857140,,70.0,17.0,2306422.0,1949781.0,82.43574141428570,8.707733214285720,20.583017914285700,,55.90961857142860,1.2,433.6666666666670,34.666666666666700,4736.0,6.0,2.0988252714285700,2.2638045,929361.0,740.0,19463.0,1053.0,20560.0
2022-04-23,202216,UT,49,-7.142857142857140,-7.285714285714290,65.28571428571430,-9.428571428571430,-20.0,2.7142857142857100,,67.0,8.0,2308006.0,1951717.0,78.3327252,,19.28174022857140,,60.0122502,1.6,445.6666666666670,48.666666666666700,4740.0,4.0,1.6390382714285700,1.8250696285714300,930558.0,1197.0,12531.0,904.0,13459.0
2022-04-30,202217,UT,49,-2.5714285714285700,-4.0,81.57142857142860,-6.428571428571430,-18.571428571428600,2.0,,80.0,3.0,2311326.0,1955105.0,80.97217584285710,,20.176462800000000,,56.34564671428570,2.6,389.6666666666670,8.666666666666670,4747.0,7.0,1.7798631857142900,1.7127635142857100,932253.0,1695.0,16170.0,1929.0,18139.0
2022-05-07,202218,UT,49,-0.42857142857142900,0.7142857142857140,76.71428571428570,-5.571428571428570,-19.142857142857100,1.7142857142857100,,106.0,17.0,2312472.0,1956323.0,80.03729521428570,11.980071585714300,18.28729017142860,,53.43760582857140,2.7,360.6666666666670,0.6666666666666670,4760.0,13.0,1.3958145000000000,1.4374237,935479.0,3226.0,15884.0,2553.0,18475.0
2022-05-14,202219,UT,49,-1.8571428571428600,-1.4285714285714300,83.85714285714290,-6.0,-19.857142857142900,1.7142857142857100,,118.0,11.0,2315613.0,1960298.0,34.90314275714290,21.406551342857100,6.652845342857140,,24.19117022857140,3.0,323.6666666666670,0.0,4761.0,1.0,2.584082685714290,2.6891818285714300,938864.0,3385.0,17807.0,3669.0,21537.0
2022-05-21,202220,UT,49,-2.142857142857140,-1.1428571428571400,98.28571428571430,-3.7142857142857100,-19.571428571428600,1.7142857142857100,,166.0,7.0,2318914.0,1962974.0,,27.903287414285700,,,,3.3,,,4765.0,4.0,1.858949642857140,1.985185285714290,943368.0,4504.0,19925.0,5105.0,25095.0
2022-05-28,202221,UT,49,3.0,1.4,101.2,-4.0,-22.2,2.0,,186.0,0.0,2319192.0,1963104.0,,22.691119,,,,,,,4777.0,12.0,2.1388961,2.252450514285710,948979.0,5611.0,10964.0,3625.0,14636.0
2020-01-04,202001,VT,50,,,,,,,,,,,,,,,,,,96.0,0.0,,,,,,,,,
2020-01-11,202002,VT,50,,,,,,,,,,,,,,,,,,103.0,0.0,,,,,,,,,
2020-01-18,202003,VT,50,,,,,,,99.6142857142857,,,,,,,,,,,129.0,7.0,,,,,,,,,
2020-01-25,202004,VT,50,,,,,,,122.63000000000000,,,,,,,,,,,121.0,0.0,0.0,0.0,,,0.0,0.0,,,
2020-02-01,202005,VT,50,,,,,,,111.59571428571400,,,,,,,,,,,97.0,0.0,0.0,0.0,,,0.0,0.0,,,
2020-02-08,202006,VT,50,,,,,,,107.10857142857100,,,,,,,,,,,114.0,0.0,0.0,0.0,,,0.0,0.0,,,
2020-02-15,202007,VT,50,10.0,2.0,24.0,8.0,0.0,0.0,128.3042857142860,,,,,,,,,,,129.0,4.0,0.0,0.0,,,0.0,0.0,,,
2020-02-22,202008,VT,50,8.857142857142860,3.0,22.142857142857100,13.285714285714300,-3.2857142857142900,1.0,147.69285714285700,,,,,,,,,,,110.0,0.0,0.0,0.0,,,0.0,0.0,,,
2020-02-29,202009,VT,50,4.857142857142860,0.14285714285714300,7.857142857142860,6.285714285714290,-5.571428571428570,0.8571428571428570,122.35285714285700,,,,,,,,,,,138.0,15.0,0.0,0.0,,,0.0,0.0,,,
2020-03-07,202010,VT,50,9.0,5.285714285714290,13.0,10.285714285714300,-0.5714285714285710,0.0,121.2057142857140,,,,,,,,,,,120.0,0.0,0.0,0.0,,,0.0,0.0,,,
2020-03-14,202011,VT,50,2.857142857142860,9.571428571428570,15.714285714285700,-0.14285714285714300,-0.7142857142857140,1.1428571428571400,105.06142857142900,,,,,,,,,,,143.0,20.0,0.0,0.0,,,5.0,5.0,,,
