epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202135,MD,24,-6.428571428571429,2.142857142857143,78.42857142857143,-29.285714285714285,-28.571428571428573,5.857142857142857,751.0,1.0,4149088.0,3466246.0,10.4,1083.0,110.0,10061.0,78.0,502229.0,8314.0,190209.0,16912.0,207375.0
202136,MD,24,-6.285714285714286,0.5714285714285714,99.42857142857143,-32.142857142857146,-32.42857142857143,6.857142857142857,689.0,1.0,4182333.0,3500599.0,9.9,1028.6666666666667,58.66666666666666,10159.0,98.0,509393.0,7164.0,202451.0,16615.0,219291.0
202137,MD,24,-6.857142857142857,0.8571428571428571,83.0,-29.857142857142858,-27.0,5.714285714285714,695.0,2.0,4218864.0,3537592.0,9.7,1093.6666666666667,103.66666666666669,10263.0,104.0,518061.0,8668.0,218692.0,17803.0,236703.0
202138,MD,24,-8.428571428571429,-0.42857142857142855,78.0,-30.142857142857142,-24.285714285714285,5.571428571428571,709.0,0.0,4252219.0,3572465.0,9.2,1066.3333333333333,78.0,10369.0,106.0,526690.0,8629.0,229163.0,18086.0,247498.0
202139,MD,24,-7.285714285714286,1.1428571428571428,87.57142857142857,-29.0,-22.714285714285715,4.714285714285714,662.0,2.0,4281539.0,3599123.0,9.2,1081.0,84.0,10474.0,105.0,535157.0,8467.0,234137.0,17588.0,252060.0
202140,MD,24,-8.142857142857142,0.7142857142857143,73.14285714285714,-29.142857142857142,-22.571428571428573,5.285714285714286,625.0,2.0,4316209.0,3627348.0,8.7,1125.6666666666667,126.66666666666669,10583.0,109.0,542886.0,7729.0,255838.0,18634.0,274679.0
202141,MD,24,-8.142857142857142,-0.14285714285714285,64.0,-30.285714285714285,-24.857142857142858,5.714285714285714,577.0,5.0,4346864.0,3653816.0,8.0,1052.3333333333333,59.33333333333334,10703.0,120.0,549679.0,6793.0,261380.0,15692.0,277254.0
202142,MD,24,-7.428571428571429,0.42857142857142855,69.57142857142857,-28.0,-22.142857142857142,5.0,489.0,6.0,4380511.0,3683084.0,6.9,1090.3333333333333,79.33333333333333,10796.0,93.0,555366.0,5687.0,269287.0,13224.0,282719.0
202143,MD,24,-10.0,-1.4285714285714286,38.285714285714285,-30.857142857142858,-22.714285714285715,6.428571428571429,475.0,7.0,4405028.0,3713590.0,6.5,1042.0,40.0,10882.0,86.0,560634.0,5268.0,248328.0,11590.0,260094.0
202144,MD,24,-8.428571428571429,-0.42857142857142855,37.57142857142857,-30.857142857142858,-22.428571428571427,6.0,433.0,4.0,4429037.0,3742984.0,5.7,1047.3333333333333,41.333333333333336,10965.0,83.0,565355.0,4721.0,248588.0,11559.0,260325.0
202145,MD,24,-7.714285714285714,-1.1428571428571428,36.857142857142854,-31.714285714285715,-23.714285714285715,6.285714285714286,460.0,8.0,4464532.0,3779231.0,6.2,1077.0,53.0,11050.0,85.0,570806.0,5451.0,245798.0,13519.0,259458.0
202146,MD,24,-8.857142857142858,-0.5714285714285714,17.857142857142858,-30.142857142857142,-21.142857142857142,6.0,518.0,3.0,4504162.0,3811744.0,7.2,1048.0,26.66666666666667,11111.0,61.0,577013.0,6207.0,254845.0,14670.0,269671.0
202147,MD,24,-14.571428571428571,0.14285714285714285,8.428571428571429,-36.285714285714285,-39.285714285714285,10.0,560.0,5.0,4619856.0,3826697.0,7.9,1059.6666666666667,26.66666666666667,11178.0,67.0,583299.0,6286.0,174693.0,12624.0,187492.0
202148,MD,24,-10.428571428571429,-2.7142857142857144,14.285714285714286,-30.714285714285715,-21.857142857142858,6.571428571428571,725.0,9.0,4684934.0,3899913.0,10.7,1073.0,32.666666666666664,11255.0,77.0,592679.0,9380.0,274385.0,16500.0,291240.0
202149,MD,24,-10.571428571428571,-2.4285714285714284,5.0,-35.142857142857146,-20.428571428571427,6.571428571428571,943.0,5.0,4736112.0,3960686.0,13.3,1145.6666666666667,83.66666666666667,11255.0,0.0,601556.0,8877.0,239657.0,16406.0,256411.0
202150,MD,24,-7.0,0.5714285714285714,13.285714285714286,-33.142857142857146,-20.571428571428573,6.0,1120.0,34.0,4784005.0,4005308.0,17.1,1160.0,99.33333333333331,11255.0,0.0,618303.0,16747.0,268418.0,30820.0,299784.0
202151,MD,24,-12.714285714285714,4.142857142857143,-0.7142857142857143,-41.857142857142854,-41.0,10.428571428571429,1560.0,31.0,4821957.0,4032359.0,23.2,1228.3333333333333,154.33333333333334,11255.0,0.0,661093.0,42790.0,312113.0,68633.0,381762.0
202152,MD,24,-19.571428571428573,-7.714285714285714,-2.142857142857143,-46.285714285714285,-49.142857142857146,15.0,2621.0,10.0,4863660.0,4057776.0,41.8,1230.0,158.0,11758.0,503.0,735723.0,74630.0,241355.0,115085.0,358042.0
202201,MD,24,-27.428571428571427,-10.428571428571429,-26.285714285714285,-48.714285714285715,-38.714285714285715,16.857142857142858,3428.0,9.0,4910447.0,4091973.0,46.5,1296.0,228.0,12158.0,400.0,828656.0,92933.0,298199.0,124733.0,425435.0
202202,MD,24,-21.571428571428573,-7.571428571428571,-23.428571428571427,-46.142857142857146,-27.571428571428573,11.285714285714286,2895.0,17.0,4965700.0,4144337.0,39.7,1473.0,385.0,12608.0,450.0,910753.0,82097.0,281299.0,92874.0,376654.0
202203,MD,24,-26.571428571428573,-15.571428571428571,-25.285714285714285,-49.57142857142857,-31.571428571428573,12.714285714285714,2030.0,4.0,5021860.0,4177957.0,26.1,1443.333333333333,354.33333333333326,13101.0,493.0,952852.0,42099.0,250792.0,45538.0,297596.0
202204,MD,24,-23.0,-12.714285714285714,-18.571428571428573,-45.285714285714285,-25.285714285714285,9.857142857142858,1468.0,9.0,5053680.0,4205092.0,16.1,1306.0,219.33333333333331,13432.0,331.0,974240.0,21388.0,250967.0,26640.0,278373.0
202205,MD,24,-19.571428571428573,-12.0,-16.857142857142858,-43.714285714285715,-23.0,8.857142857142858,1013.0,11.0,5077336.0,4231982.0,10.2,1218.6666666666667,148.0,13691.0,259.0,985982.0,11742.0,220999.0,14757.0,236206.0
202206,MD,24,-15.571428571428571,-6.857142857142857,16.857142857142858,-38.285714285714285,-21.714285714285715,7.0,750.0,8.0,5096736.0,4257840.0,7.0,1157.3333333333333,90.66666666666669,13905.0,214.0,992510.0,6528.0,205848.0,8842.0,215033.0
202207,MD,24,-16.571428571428573,-8.0,-4.142857142857143,-38.857142857142854,-22.571428571428573,7.142857142857143,476.0,12.0,5114684.0,4282372.0,5.1,1006.6666666666665,0.0,14003.0,98.0,997047.0,4537.0,218374.0,5983.0,224663.0
202208,MD,24,-14.571428571428571,-9.571428571428571,14.571428571428571,-38.0,-24.714285714285715,7.714285714285714,400.0,17.0,5129734.0,4300259.0,3.9,1065.0,23.0,14105.0,102.0,1001509.0,4462.0,197837.0,4500.0,202563.0
202209,MD,24,-13.571428571428571,-8.0,22.0,-36.42857142857143,-20.714285714285715,5.857142857142857,275.0,21.0,5143549.0,4314580.0,2.8,1038.6666666666667,1.0,14176.0,71.0,1004290.0,2781.0,192577.0,3192.0,195967.0
202210,MD,24,-18.428571428571427,-12.0,6.857142857142857,-40.285714285714285,-22.0,7.142857142857143,230.0,18.0,5152793.0,4323870.0,2.4,1039.0,5.0,14249.0,73.0,1006432.0,2142.0,155031.0,2492.0,157639.0
202211,MD,24,-13.714285714285714,-8.571428571428571,39.42857142857143,-37.0,-20.857142857142858,5.571428571428571,189.0,30.0,5160744.0,4331869.0,1.6,1069.0,29.0,14293.0,44.0,1008536.0,2104.0,177930.0,2606.0,180694.0
202212,MD,24,-14.285714285714286,-8.857142857142858,29.714285714285715,-36.0,-20.714285714285715,5.428571428571429,139.0,28.0,5172797.0,4345266.0,1.5,962.6666666666665,0.0,14324.0,33.0,1010497.0,1961.0,177693.0,2477.0,180289.0
202213,MD,24,-15.0,-8.857142857142858,20.142857142857142,-36.42857142857143,-19.857142857142858,5.714285714285714,147.0,31.0,5189299.0,4364258.0,1.6,1018.3333333333335,3.6666666666666665,14347.0,23.0,1012357.0,1860.0,193382.0,3006.0,196518.0
202214,MD,24,-13.714285714285714,-6.857142857142857,25.714285714285715,-35.142857142857146,-19.571428571428573,5.285714285714286,169.0,57.0,5229056.0,4408130.0,1.7,972.0,0.0,14371.0,24.0,1015358.0,3001.0,160321.0,4326.0,164780.0
202215,MD,24,-9.857142857142858,-2.0,68.28571428571429,-33.142857142857146,-27.571428571428573,5.142857142857143,161.0,48.0,5209933.0,4384609.0,2.3,961.3333333333335,0.0,14398.0,27.0,1019487.0,4129.0,125649.0,5582.0,131357.0
202216,MD,24,-15.285714285714286,-7.714285714285714,55.142857142857146,-33.57142857142857,-24.142857142857142,4.857142857142857,184.0,43.0,5217624.0,4392730.0,2.8,986.3333333333335,3.6666666666666665,14422.0,24.0,1024920.0,5433.0,97507.0,6472.0,104086.0
202217,MD,24,-9.857142857142858,-3.4285714285714284,71.71428571428571,-31.571428571428573,-19.571428571428573,3.7142857142857144,236.0,57.0,5226682.0,4402383.0,3.6,931.6666666666665,0.0,14456.0,34.0,1031533.0,6613.0,162944.0,8607.0,171732.0
