date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,google_survey_cli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,negativeIncr,total_resultsIncr
2020-07-11,202028,VT,50,-6.428571428571430,3.7142857142857100,197.71428571428600,-28.428571428571400,-31.714285714285700,7.142857142857140,1133.66,,,202.63310000000000,155.7781,221.34290000000000,175.6937,199.73320000000000,159.8195,228.02850000000000,190.7621,242.371,151.5973,265.7182,213.0314,228.6835,186.6298,203.4402,163.1158,225.55260000000000,161.312,,,,,,,217.1561,170.5949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795564308858498,,42.0,5503.0,8281.0,0.0,0.0,0.0,67.0,0.0,115.66666666666700,13.666666666666700,56.0,0.0,1.9040471,0.0,1.9040471,1283.0,45.0,10447.0,578111.0
2020-07-18,202029,VT,50,-7.428571428571430,3.0,184.42857142857100,-29.142857142857100,-29.714285714285700,7.285714285714290,1128.8500000000000,25.0,,202.05670000000000,151.7007,225.6112,175.91640000000000,196.3657,155.12720000000000,233.3371,191.66720000000000,232.2038,140.8159,258.88100000000000,204.7318,231.83800000000000,188.3156,206.58400000000000,162.19390000000000,219.89,153.00560000000000,,,,,,,216.6748,167.2345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7299410516617000,,57.0,6297.0,9207.0,0.0,0.0,0.0,59.0,0.0,90.0,0.0,56.0,0.0,1.7019033000000000,0.0,2.4046387,1338.0,55.0,13122.0,657452.0
2020-07-25,202030,VT,50,-6.285714285714290,5.0,214.42857142857100,-27.571428571428600,-30.285714285714300,6.285714285714290,1169.6,30.0,,192.60160000000000,146.7545,216.1616,168.5042,192.07840000000000,152.4488,217.3865,179.3585,225.72110000000000,138.5642,252.66340000000000,203.3734,222.9349,181.40360000000000,194.7602,154.5565,211.6141,147.2541,,,,,,,207.0056,160.6082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963047410598970,,58.0,8069.0,11494.0,0.0,0.0,0.0,57.0,0.0,116.0,12.0,56.0,0.0,1.7592760000000000,0.0,2.0184677,1396.0,58.0,10967.0,746054.0
2020-08-01,202031,VT,50,-5.428571428571430,4.571428571428570,212.14285714285700,-24.0,-29.857142857142900,6.285714285714290,1197.1800000000000,3.0,,202.4426,156.04360000000000,226.9358,179.46910000000000,208.4187,165.8778,214.8987,177.3005,239.14290000000000,147.8962,279.6749,227.39280000000000,231.8998,187.9609,201.9967,161.31810000000000,216.7983,152.03300000000000,,,,,,,215.16720000000000,167.78710000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327148899187550,,24.0,5827.0,8892.0,0.0,0.0,1.0,49.0,0.0,106.66666666666700,0.6666666666666670,57.0,1.0,3.4842146000000000,0.0,2.6974403000000000,1421.0,25.0,10841.0,819405.0
2020-08-08,202032,VT,50,-5.857142857142860,3.7142857142857100,181.85714285714300,-22.0,-30.857142857142900,7.0,1224.51,3.0,,211.04500000000000,161.0303,237.4844,188.8398,205.0007,160.707,232.724,190.0236,258.6607,161.0512,280.48990000000000,223.82870000000000,236.2754,191.0632,210.4091,167.1964,233.78820000000000,162.87530000000000,,,,,,,224.0521,173.5517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3572893458619690,,32.0,6313.0,10321.0,0.0,0.0,1.0,41.0,0.0,106.0,3.0,58.0,1.0,2.6354757000000000,0.0,3.2636582,1454.0,33.0,11723.0,901874.0
2020-08-15,202033,VT,50,-4.571428571428570,5.428571428571430,224.57142857142900,-18.857142857142900,-30.428571428571400,5.714285714285710,1291.1800000000000,8.0,,212.7434,159.83160000000000,232.446,180.4772,214.4746,164.7481,232.3285,185.42560000000000,249.309,152.0284,263.3479,203.3513,247.4554,194.21210000000000,212.4652,165.6455,229.71870000000000,157.86430000000000,,,,,,,225.11940000000000,170.7381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,57.0,8527.0,12618.0,0.0,0.0,0.0,60.0,0.0,107.0,5.0,58.0,0.0,1.4563031000000000,0.0,1.8175680000000000,1509.0,55.0,14822.0,992173.0
2020-08-22,202034,VT,50,-5.0,4.714285714285710,240.0,-23.0,-29.428571428571400,6.142857142857140,1246.24,7.0,,215.7693,162.504,226.8774,176.4286,209.58910000000000,162.6472,234.4405,186.22360000000000,272.0721,164.5121,273.26010000000000,213.2202,236.89140000000000,185.9201,213.4086,167.311,240.3379,164.0292,,,,,,,227.56660000000000,172.7848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,41.0,8882.0,14536.0,0.0,0.0,0.0,34.0,0.0,126.0,25.0,58.0,0.0,1.9048337,0.0,1.9048337,1553.0,44.0,16122.0,1098066.0
2020-08-29,202035,VT,50,-6.142857142857140,2.142857142857140,,,-28.285714285714300,6.714285714285710,1212.03,9.0,,223.2285,162.67860000000000,230.1337,173.7561,209.0743,157.3213,245.863,190.41810000000000,285.9738,172.2752,262.16830000000000,200.9429,236.02210000000000,181.7566,214.665,162.39080000000000,264.21520000000000,178.86510000000000,,,,,,,234.1876,173.8878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,11324.0,19316.0,0.0,0.0,0.0,47.0,0.0,105.0,3.0,58.0,0.0,1.5036828,0.0,1.5036828,1605.0,52.0,21224.0,1225420.0
2020-09-05,202036,VT,50,-3.5714285714285700,4.285714285714290,,,-27.428571428571400,5.142857142857140,1215.07,5.0,,219.73210000000000,164.87820000000000,230.8472,179.7335,213.1993,163.8619,241.69570000000000,190.81400000000000,263.5895,163.4567,281.3095,224.2274,235.31970000000000,185.9193,215.80160000000000,166.71360000000000,246.85590000000000,171.16680000000000,,,,,,,231.4326,176.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.0,12944.0,24144.0,0.0,0.0,0.0,38.0,0.0,113.0,11.0,58.0,0.0,2.5077364,0.0,2.8742135,1647.0,42.0,28882.0,1413505.0
2020-09-12,202037,VT,50,-4.571428571428570,3.2857142857142900,159.5,-23.0,-31.285714285714300,5.428571428571430,1185.76,2.0,,208.92270000000000,154.5551,225.8221,173.63190000000000,204.84430000000000,153.9579,231.7763,180.47720000000000,248.37,149.11760000000000,272.3802,211.67000000000000,232.9121,181.6184,213.9703,162.83210000000000,225.9037,152.248,,,,,,,221.74790000000000,165.6716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,6540.0,23018.0,0.0,0.0,0.0,45.0,0.0,117.0,15.0,58.0,0.0,3.4068425000000000,0.0,3.4068425000000000,1677.0,30.0,20869.0,1579231.0
