epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
202139,NC,37,-4.714285714,5.714285714,53.71428571,-10.85714286,-18.71428571,2.857142857,1807,14,6288574,5232429,,2342.333333,494.3333333,16605,497,1400217,31474,291673,27438,319562,3.551428571,0.204285714,5.414285714,2.117142857,3.85,4.372857143,2.544285714,3.762857143,0.74,1.327142857,1.541428571,0.232857143,0.177142857,0.432857143,1.43506
202140,NC,37,-6.285714286,4.142857143,30.85714286,-11.42857143,-19,4.142857143,1634,14,6400497,5348651,,2295.666667,431.6666667,17104,499,1425062,24845,248550,20794,269596,3.391428571,0.185714286,5.21,2.041428571,3.81,4.211428571,2.512857143,3.688571429,0.707142857,1.298571429,1.547142857,0.238571429,0.174285714,0.397142857,1.38405
202141,NC,37,-3.857142857,4.571428571,55,-7.571428571,-19,3,1381,24,6494826,5409835,,2266.333333,389.3333333,17456,352,1446881,21819,246916,17219,264378,3.338571429,0.168571429,5.027142857,2.024285714,3.862857143,4.222857143,2.544285714,3.697142857,0.69,1.282857143,1.565714286,0.248571429,0.174285714,0.388571429,1.28408
202142,NC,37,-3.714285714,4.714285714,54.57142857,-5.714285714,-18.57142857,2.571428571,969,36,6582229,5470442,,2215,326,17765,309,1463410,16529,229935,13045,243298,3.37,0.165714286,5.268571429,2.071428571,3.745714286,4.212857143,2.558571429,3.805714286,0.7,1.271428571,1.525714286,0.247142857,0.172857143,0.375714286,1.1447
202143,NC,37,-4.571428571,5.714285714,35.14285714,-9.428571429,-18,3.428571429,797,48,6712174,5510722,,2159.666667,259.6666667,18050,285,1477514,14104,222403,11424,234024,3.218571429,0.162857143,5.317142857,2.035714286,3.722857143,4.124285714,2.571428571,3.65,0.672857143,1.222857143,1.53,0.248571429,0.17,0.37,1.23386
202144,NC,37,-5.571428571,4,23,-13.71428571,-18.14285714,4,753,38,6830289,5566902,,2132,214,18251,201,1489653,12139,211010,10308,221478,3.317142857,0.154285714,5.665714286,2.214285714,3.672857143,3.98,2.531428571,3.555714286,0.645714286,1.218571429,1.481428571,0.231428571,0.184285714,0.364285714,1.27527
202145,NC,37,-4.857142857,3.285714286,26.85714286,-11.85714286,-20.57142857,4.285714286,732,4,6973246,5600620,,2219,286,18411,160,1501801,12148,198774,11208,210165,3.374285714,0.177142857,6.06,2.264285714,3.784285714,3.988571429,2.6,3.535714286,0.675714286,1.27,1.514285714,0.238571429,0.181428571,0.362857143,1.45365
202146,NC,37,-5,4.142857143,15.28571429,-11.14285714,-16.71428571,3.428571429,775,3,7163436,5635146,,2061.333333,121.3333333,18597,186,1514879,13078,205786,12789,218712,3.39,0.167142857,6.09,2.214285714,3.718571429,3.998571429,2.562857143,3.534285714,0.658571429,1.244285714,1.474285714,0.245714286,0.181428571,0.35,1.48564
202147,NC,37,-12.14285714,6.142857143,12.42857143,-13.28571429,-37.14285714,7.714285714,895,24,7282242,5660326,,2209.666667,237.6666667,18676,79,1524078,9199,161321,11456,172951,3.315714286,0.165714286,6.171428571,2.191428571,3.471428571,3.644285714,2.584285714,3.454285714,0.602857143,1.197142857,1.397142857,0.217142857,0.15,0.297142857,1.58873
202148,NC,37,-5.857142857,3.571428571,11.71428571,-10.42857143,-16.71428571,3.857142857,963,22,7430047,5717126,,2307.666667,325.6666667,18825,149,1544544,20466,228504,19283,248175,3.811428571,0.207142857,6.862857143,2.328571429,3.837142857,4.16,2.764285714,3.714285714,0.685714286,1.248571429,1.497142857,0.24,0.167142857,0.355714286,2.01101
