date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-11-07,202045,UT,49,-13.714285714285700,-3.4285714285714300,39.285714285714300,-28.571428571428600,-25.285714285714300,8.142857142857140,132.92285714285700,452.0,0.0,,,,,,,,17.7,428.3333333333330,48.666666666666700,658.0,54.0,1.5840976857142900,1.7491101285714300,130235.0,15579.0,85586.0,16950.0,102978.0
2020-11-14,202046,UT,49,-18.142857142857100,-6.857142857142860,-6.285714285714290,-34.714285714285700,-28.428571428571400,10.857142857142900,114.24857142857100,553.0,1.0,,,,,,,,17.3,454.6666666666670,72.66666666666670,710.0,52.0,1.4706207285714300,1.4745236571428600,151141.0,20906.0,97654.0,21342.0,119579.0
2020-11-21,202047,UT,49,-17.142857142857100,-5.0,14.0,-31.857142857142900,-27.714285714285700,10.0,118.38,646.0,0.0,,,,,,,,20.2,505.6666666666670,121.66666666666700,787.0,77.0,1.398930042857140,1.417489742857140,173979.0,22838.0,108877.0,24335.0,133894.0
2020-11-28,202048,UT,49,-20.857142857142900,-2.0,18.142857142857100,-36.714285714285700,-42.857142857142900,12.714285714285700,114.00285714285700,631.0,0.0,,,,,,,,16.8,447.3333333333330,65.33333333333330,863.0,76.0,1.4632596,1.5077022571428600,192087.0,18108.0,81454.0,18283.0,100176.0
2020-12-05,202049,UT,49,-15.0,-5.428571428571430,7.857142857142860,-33.142857142857100,-25.571428571428600,9.285714285714290,119.38714285714300,678.0,2.0,,,,,,,,15.8,494.0,102.0,939.0,76.0,1.6516596714285700,1.6461299142857100,212844.0,20757.0,93018.0,21880.0,115308.0
2020-12-12,202050,UT,49,-14.0,-4.714285714285710,2.857142857142860,-36.285714285714300,-25.0,9.285714285714290,120.00142857142900,670.0,2.0,,,,,,,,16.5,506.3333333333330,115.33333333333300,1038.0,99.0,1.6267005857142900,1.6833718571428600,231821.0,18977.0,86445.0,16572.0,103496.0
2020-12-19,202051,UT,49,-11.571428571428600,-1.1428571428571400,-3.5714285714285700,-32.42857142857140,-25.714285714285700,9.0,128.6314285714290,635.0,0.0,3648.0,,,,,,,14.2,502.3333333333330,107.33333333333300,1148.0,110.0,1.9549034142857100,1.9561164714285700,248970.0,17149.0,95729.0,17235.0,113489.0
2020-12-26,202052,UT,49,-15.142857142857100,1.2857142857142900,12.714285714285700,-37.142857142857100,-45.0,12.142857142857100,117.63714285714300,548.0,0.0,16924.0,,,,,,,12.5,467.3333333333330,70.33333333333330,1212.0,64.0,1.164822142857140,1.1450092857142900,264078.0,15108.0,71836.0,13766.0,86066.0
2021-01-02,202053,UT,49,-13.0,-5.714285714285710,10.142857142857100,-36.42857142857140,-44.857142857142900,13.428571428571400,128.35000000000000,564.0,1.0,46374.0,,,7.664943828571430,25.966113414285700,2.371727114285710,11.50260522857140,13.0,452.3333333333330,56.666666666666700,1294.0,82.0,1.7189054857142900,1.7711784000000000,281654.0,17576.0,73779.0,24083.0,98514.0
2021-01-09,202101,UT,49,-17.285714285714300,-9.0,-3.7142857142857100,-34.57142857142860,-26.285714285714300,9.714285714285710,125.28571428571400,664.0,0.0,66096.0,967.0,3.550791814285710,26.944773971428600,90.41660718571430,9.053619557142860,37.47261115714290,17.6,495.0,91.0,1390.0,96.0,1.4370434000000000,1.4984935,303723.0,22069.0,84897.0,28309.0,113861.0
2021-01-16,202102,UT,49,-18.0,-10.428571428571400,0.5714285714285710,-36.42857142857140,-26.428571428571400,9.285714285714290,126.32428571428600,605.0,1.0,66096.0,967.0,7.346003871428570,29.644616385714300,90.17776027142860,5.693633942857140,35.95700072857140,15.4,448.6666666666670,50.0,1485.0,95.0,1.2283256,1.3442026428571400,322252.0,18529.0,77575.0,19670.0,97733.0
2021-01-23,202103,UT,49,-18.285714285714300,-11.428571428571400,3.0,-36.857142857142900,-29.142857142857100,9.857142857142860,124.66285714285700,515.0,0.0,160229.0,23469.0,10.475439014285700,22.672328085714300,91.3042952,6.0760688,38.036507914285700,11.2,461.3333333333330,56.666666666666700,1582.0,97.0,1.0837894714285700,1.1065917571428600,334889.0,12637.0,72623.0,16372.0,89401.0
2021-01-30,202104,UT,49,-20.285714285714300,-11.571428571428600,-8.714285714285710,-36.142857142857100,-25.285714285714300,9.428571428571430,122.33857142857100,480.0,0.0,185271.0,48263.0,14.017697142857100,17.61527277142860,91.09119395714290,6.631354385714290,37.30175234285710,9.8,475.6666666666670,65.66666666666670,1663.0,81.0,1.2307967714285700,1.3120040571428600,345430.0,10541.0,73531.0,13090.0,86968.0
2021-02-06,202105,UT,49,-17.571428571428600,-7.142857142857140,3.142857142857140,-33.57142857142860,-24.142857142857100,8.571428571428570,126.57428571428600,433.0,0.0,271345.0,89948.0,16.8805672,15.708586171428600,90.11849304285720,6.225884842857140,42.86438434285710,7.1,446.3333333333330,36.666666666666700,1733.0,70.0,1.2615131285714300,1.3626446428571400,353700.0,8270.0,66734.0,9783.0,76809.0
2021-02-13,202106,UT,49,-16.714285714285700,-4.285714285714290,4.428571428571430,-32.0,-24.714285714285700,8.285714285714290,133.06857142857100,331.0,5.0,349423.0,140293.0,20.456520214285700,16.1329344,91.33933597142860,6.0772981,43.268433328571400,7.3,434.6666666666670,24.666666666666700,1790.0,57.0,0.9426399000000000,0.9576046142857140,360584.0,6884.0,63547.0,8182.0,71971.0
2021-02-20,202107,UT,49,-16.0,-7.0,-1.5714285714285700,-33.42857142857140,-28.714285714285700,9.857142857142860,132.48142857142900,255.0,5.0,343017.0,188985.0,23.14472957142860,10.904623328571400,64.27446448571430,6.4283531428571400,43.55345254285710,7.1,416.3333333333330,11.0,1842.0,52.0,0.8815098,0.9273291428571430,366034.0,5450.0,56032.0,6799.0,62997.0
2021-02-27,202108,UT,49,-13.428571428571400,-5.714285714285710,6.142857142857140,-28.428571428571400,-23.428571428571400,7.714285714285710,134.84857142857100,252.0,0.0,391510.0,177284.0,25.39087732857140,16.110048985714300,,6.754443928571430,42.8992267,5.0,366.6666666666670,0.0,1929.0,87.0,0.6696727142857140,0.7604436285714290,370770.0,4736.0,58103.0,5055.0,63310.0
2021-03-06,202109,UT,49,-10.428571428571400,-2.142857142857140,32.714285714285700,-24.714285714285700,-23.857142857142900,6.857142857142860,142.45857142857100,220.0,0.0,482088.0,212046.0,33.169729114285700,14.179448957142900,,7.033770414285720,49.825044642857100,4.8,403.6666666666670,5.333333333333330,1975.0,46.0,1.0791127142857100,1.0027510285714300,374438.0,3668.0,58491.0,3221.0,61924.0
2021-03-13,202110,UT,49,-9.142857142857140,-2.2857142857142900,23.714285714285700,-24.571428571428600,-24.714285714285700,7.142857142857140,120.50714285714300,208.0,0.0,587893.0,241651.0,38.380203128571400,10.839153457142900,,4.144350528571430,20.520626685714300,4.3,402.0,1.3333333333333300,2021.0,46.0,0.5630697428571430,0.5858581714285710,377983.0,3545.0,59460.0,3143.0,62754.0
2021-03-20,202111,UT,49,-3.142857142857140,1.0,48.57142857142860,-20.142857142857100,-23.714285714285700,6.285714285714290,160.12,225.0,0.0,650394.0,264544.0,45.46049527142860,9.337578171428570,,,,3.7,388.3333333333330,0.0,2060.0,39.0,0.9964120857142860,0.9531526714285710,381254.0,3271.0,62411.0,2778.0,65348.0
2021-03-27,202112,UT,49,-3.0,0.0,36.857142857142900,-18.714285714285700,-23.714285714285700,6.428571428571430,164.5257142857140,181.0,1.0,783522.0,320162.0,50.09766438571430,11.797365057142900,,,,3.9,386.3333333333330,0.0,2101.0,41.0,0.6990598142857140,0.6602424571428570,384173.0,2919.0,64276.0,2584.0,67020.0
2021-04-03,202113,UT,49,-0.7142857142857140,6.142857142857140,79.28571428571430,-16.714285714285700,-28.714285714285700,5.428571428571430,164.54000000000000,160.0,0.0,898948.0,382600.0,56.512079257142900,7.007991957142860,,,,3.5,399.3333333333330,4.666666666666670,2132.0,31.0,0.6676678428571430,0.7297898428571430,386997.0,2824.0,59155.0,2275.0,61593.0
2021-04-10,202114,UT,49,-4.714285714285710,1.4285714285714300,84.42857142857140,-16.857142857142900,-29.857142857142900,5.428571428571430,166.0985714285710,168.0,0.0,1019257.0,455173.0,62.307581514285700,11.050859057142900,,,,3.3,376.0,0.0,2159.0,27.0,0.6350969428571430,0.5677587285714290,389760.0,2763.0,55706.0,2287.0,58141.0
2021-04-17,202115,UT,49,-3.142857142857140,0.7142857142857140,55.42857142857140,-18.571428571428600,-23.571428571428600,5.714285714285710,161.49571428571400,148.0,0.0,1136107.0,544341.0,67.93521844285710,8.40907107142857,,,,3.3,366.0,0.0,2164.0,5.0,0.7020959285714290,0.6897542,392509.0,2749.0,57409.0,2278.0,59833.0
2021-04-24,202116,UT,49,-2.2857142857142900,2.4285714285714300,88.0,-16.714285714285700,-23.428571428571400,4.857142857142860,167.15142857142900,171.0,0.0,1218193.0,624346.0,70.81208500000000,1.2301477142857100,,,,3.9,383.6666666666670,0.0,2180.0,16.0,0.8820109428571430,0.8540221,395150.0,2641.0,54303.0,2295.0,56745.0
2021-05-01,202117,UT,49,-2.142857142857140,3.4285714285714300,81.71428571428570,-15.285714285714300,-24.285714285714300,4.857142857142860,169.13857142857100,154.0,1.0,1274391.0,698696.0,84.0631838,7.198288471428570,,,,4.2,422.3333333333330,33.333333333333300,2203.0,23.0,1.2113969857142900,1.1084662285714300,397733.0,2583.0,50627.0,2251.0,52997.0
2021-05-08,202118,UT,49,1.8571428571428600,9.0,103.28571428571400,-12.285714285714300,-23.857142857142900,3.857142857142860,175.12142857142900,171.0,0.0,1311807.0,756226.0,74.93265064285710,7.235114042857140,,,,3.9,381.3333333333330,0.0,2223.0,20.0,0.613951,0.4860764142857140,400120.0,2387.0,47177.0,2088.0,49372.0
2021-05-15,202119,UT,49,0.0,8.714285714285710,108.14285714285700,-10.571428571428600,-24.142857142857100,3.7142857142857100,171.6071428571430,177.0,6.0,1352201.0,833908.0,76.74687885714290,0.5634381428571430,,,,4.8,376.3333333333330,0.0,2258.0,35.0,1.2087912000000000,1.0289505000000000,402325.0,2205.0,41673.0,1933.0,43712.0
2021-05-22,202120,UT,49,0.14285714285714300,7.285714285714290,105.57142857142900,-9.142857142857140,-22.571428571428600,3.7142857142857100,178.85857142857100,176.0,0.0,1414005.0,900664.0,77.64410025714290,,,,,3.5,399.3333333333330,14.333333333333300,2290.0,32.0,0.8027675142857140,0.8407391142857140,404246.0,1921.0,39537.0,1626.0,41262.0
2021-05-29,202121,UT,49,3.0,10.571428571428600,115.28571428571400,-6.571428571428570,-24.571428571428600,3.4285714285714300,185.61000000000000,187.0,0.0,1440284.0,922558.0,77.25461471428570,,,,,3.3,428.6666666666670,43.666666666666700,2301.0,11.0,0.6062023000000000,0.6883179714285720,405851.0,1605.0,37018.0,1434.0,38550.0
2021-06-05,202122,UT,49,4.142857142857140,14.428571428571400,145.14285714285700,-7.571428571428570,-33.857142857142900,4.285714285714290,192.69285714285700,163.0,0.0,1465947.0,951520.0,79.24609501428570,1.9515448142857100,,,,3.9,389.6666666666670,6.666666666666670,2311.0,10.0,1.0117421,0.9913616857142860,407419.0,1568.0,36758.0,1517.0,38354.0
2021-06-12,202123,UT,49,3.0,11.285714285714300,135.57142857142900,-4.857142857142860,-28.571428571428600,3.857142857142860,196.55285714285700,184.0,0.0,1486140.0,985465.0,79.49404264285720,,,,,4.2,382.6666666666670,6.0,2323.0,12.0,0.6541062000000000,0.6468233142857140,409364.0,1945.0,37762.0,1789.0,39635.0
2021-06-19,202124,UT,49,3.2857142857142900,10.142857142857100,124.85714285714300,-3.0,-29.142857142857100,3.5714285714285700,204.70142857142900,214.0,5.0,1517958.0,1035632.0,79.06354021428570,,,,,3.5,411.3333333333330,34.333333333333300,2328.0,5.0,0.8910409428571430,0.8910409428571430,411361.0,1997.0,33964.0,1963.0,35991.0
2021-06-26,202125,UT,49,2.4285714285714300,3.0,132.28571428571400,-2.4285714285714300,-29.142857142857100,3.2857142857142900,202.40285714285700,209.0,0.0,1542979.0,1058245.0,79.45287307142860,,,,,4.1,412.0,34.0,2355.0,27.0,1.463184757142860,1.5295497285714300,413668.0,2307.0,33070.0,2314.0,35481.0
2021-07-03,202126,UT,49,2.2857142857142900,6.428571428571430,135.85714285714300,-1.8571428571428600,-29.857142857142900,2.857142857142860,199.26,267.0,2.0,1566564.0,1081810.0,91.27891890000000,,,,,3.7,413.6666666666670,36.666666666666700,2378.0,23.0,1.1987651428571400,1.2391544571428600,416110.0,2442.0,34750.0,2941.0,37805.0
2021-07-10,202127,UT,49,1.1428571428571400,5.142857142857140,134.14285714285700,-5.428571428571430,-34.857142857142900,4.428571428571430,196.29428571428600,250.0,0.0,1587256.0,1098861.0,81.42842740000000,,,,,4.8,425.6666666666670,50.666666666666700,2393.0,15.0,1.1097878,1.1097878,418976.0,2866.0,29985.0,3144.0,33203.0
2021-07-17,202128,UT,49,2.857142857142860,4.857142857142860,113.71428571428600,-1.4285714285714300,-28.142857142857100,3.7142857142857100,200.33714285714300,309.0,1.0,1625907.0,1273984.0,81.58658227142860,,,,,6.5,378.0,6.666666666666670,2413.0,20.0,0.9603374857142860,0.9957059857142860,422619.0,3643.0,36535.0,3816.0,40459.0
2021-07-24,202129,UT,49,2.5714285714285700,5.285714285714290,119.57142857142900,-2.5714285714285700,-30.857142857142900,4.142857142857140,196.36285714285700,308.0,1.0,1643084.0,1286565.0,80.11837472857140,,,,,6.4,436.6666666666670,64.66666666666670,2425.0,12.0,1.2038171,1.2635899285714300,426418.0,3799.0,37151.0,4589.0,41850.0
2021-07-31,202130,UT,49,1.2857142857142900,4.428571428571430,104.14285714285700,-3.0,-27.428571428571400,3.857142857142860,193.71571428571400,376.0,1.0,1670741.0,1303772.0,82.49530025714280,12.566318314285700,,,,8.9,434.3333333333330,67.33333333333330,2451.0,26.0,1.4204890714285700,1.5135239000000000,432467.0,6049.0,43158.0,5647.0,48945.0
2021-08-07,202131,UT,49,1.8571428571428600,4.428571428571430,102.14285714285700,-4.285714285714290,-27.714285714285700,3.857142857142860,193.8842857142860,432.0,2.0,1702268.0,1321276.0,81.39811920000000,19.929446857142900,,,,8.2,443.6666666666670,78.66666666666670,2494.0,43.0,1.138856142857140,1.1301731714285700,438479.0,6012.0,48772.0,5940.0,54878.0
2021-08-14,202132,UT,49,2.4285714285714300,4.428571428571430,103.42857142857100,-4.714285714285710,-27.571428571428600,3.4285714285714300,196.0857142857140,417.0,1.0,1725523.0,1333281.0,81.26193224285720,17.141788585714300,,,,8.3,422.6666666666670,57.666666666666700,2525.0,31.0,1.0521023285714300,1.1801006,444385.0,5906.0,47980.0,5965.0,54119.0
2021-08-21,202133,UT,49,1.0,2.7142857142857100,70.28571428571430,-5.714285714285710,-26.428571428571400,4.285714285714290,189.38857142857100,440.0,0.0,1771820.0,1358909.0,82.01037877142860,12.965000557142900,,,,9.2,442.0,76.0,2572.0,47.0,1.1588883142857100,1.116760142857140,451655.0,7270.0,53356.0,6865.0,60463.0
2021-08-28,202134,UT,49,0.2857142857142860,2.7142857142857100,102.85714285714300,-5.571428571428570,-25.285714285714300,3.2857142857142900,195.27714285714300,506.0,3.0,1803113.0,1383115.0,81.46596637142860,9.9797743,,,,9.8,438.3333333333330,72.33333333333330,2623.0,51.0,1.4670703857142900,1.5337735428571400,459875.0,8220.0,62307.0,7988.0,70534.0
2021-09-04,202135,UT,49,-0.7142857142857140,4.857142857142860,96.28571428571430,-4.142857142857140,-25.285714285714300,3.2857142857142900,187.9542857142860,500.0,2.0,1822807.0,1401972.0,93.30966738571430,21.689024285714300,,,,10.6,473.6666666666670,108.66666666666700,2658.0,35.0,2.1387948714285700,2.3656685714285700,469429.0,9554.0,80042.0,9331.0,89628.0
2021-09-11,202136,UT,49,0.0,4.142857142857140,115.14285714285700,-6.714285714285710,-30.571428571428600,4.428571428571430,188.75285714285700,585.0,1.0,1843468.0,1421901.0,79.99923437142860,19.868446471428600,,,,11.1,459.0,93.0,2724.0,66.0,2.121519857142860,2.036768571428570,479979.0,10550.0,79035.0,9921.0,89256.0
2021-09-18,202137,UT,49,0.14285714285714300,2.7142857142857100,102.42857142857100,-1.7142857142857100,-23.285714285714300,3.142857142857140,188.61142857142900,550.0,1.0,1863568.0,1445922.0,82.30087858571430,14.407475728571400,,,,9.1,451.0,83.0,2787.0,63.0,1.8338155142857100,2.006635628571430,490985.0,11006.0,76829.0,9421.0,86574.0
