date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,google_survey_cli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-12-12,202050,IA,19,-11.714285714285700,7.857142857142860,25.142857142857100,-20.285714285714300,-17.714285714285700,7.857142857142860,114.67285714285700,821.0,2.0,603.4743,523.9870000000000,599.5567000000000,474.2464,571.5218,475.7225000000000,683.0404,567.89,898.8686,752.5613,571.7885,467.09210000000000,561.974,468.5989,714.1362000000000,594.8514,904.7253000000000,730.0258000000000,789.8623,620.2149,738.4595,576.846,695.4882,566.5322,661.2953,547.7669000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.6,9268.0,15585.0,24853.0,778.0,1316.0,545.0,30432.0,0.0,838.3333333333330,212.0,3208.0,526.0,1.4306413571428600,0.0,1.4916708857142900,255009.0,11624.0,72692.0,10809.0,83706.0
2020-12-19,202051,IA,19,-7.285714285714290,11.714285714285700,7.0,-17.0,-16.571428571428600,7.142857142857140,120.11142857142900,641.0,4.0,824.9395,747.5423000000000,808.0890000000000,659.5819,792.7880000000000,677.4861,956.4391,811.3489000000000,1278.5354000000000,1088.6123,777.5987,654.9465,788.9157000000000,672.5388,996.5346,850.7599,1272.8308,1044.0178,1091.6486,877.0061000000000,1001.4168,808.0171000000000,947.5263,792.3057,924.1893,783.3570000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,8028.0,16415.0,24443.0,602.0,1070.0,321.0,24921.0,0.0,765.0,146.66666666666700,3532.0,324.0,1.2112941428571400,0.0,1.2154617857142900,266959.0,11950.0,70613.0,8807.0,79649.0
2020-12-26,202052,IA,19,-14.142857142857100,13.0,5.285714285714290,-24.0,-36.142857142857100,11.142857142857100,107.16714285714300,597.0,4.0,923.6885,843.1925,896.2,724.5980000000000,867.2598,736.905,1091.7973,921.1864,1562.5174000000000,1329.2617,854.2889,715.2828000000000,856.7196,725.7975,1147.2012,974.9437,1557.5503,1272.208,1289.2572,1033.2169000000000,1171.6078,941.5043000000000,1076.7775000000000,898.8284,1053.1796,887.7485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.2,5874.0,12008.0,17882.0,495.0,932.0,211.0,15291.0,0.0,757.0,122.66666666666700,3743.0,211.0,1.2654774142857100,0.0,1.2703304142857100,274793.0,7834.0,52004.0,6556.0,58736.0
2021-01-02,202053,IA,19,-17.428571428571400,2.142857142857140,-7.571428571428570,-27.0,-38.142857142857100,14.142857142857100,106.29142857142900,573.0,5.0,654.8130000000000,612.2225000000000,644.8129,525.4713,622.5873,532.4383,780.2967000000000,661.0351000000000,1112.6193000000000,944.1799,607.3186000000000,512.8001,621.3970000000000,529.1162,818.6375,697.8968,1106.9571,904.6029,924.7067000000000,745.3976,832.5705,673.5771000000000,769.6755,646.5885,753.7395,637.9005,0.0,0.0,0.0,6.161401742857140,24.558192214285700,3.318418542857140,10.907552942857100,,11.5,6181.0,8059.0,14240.0,450.0,834.0,202.0,15544.0,0.0,677.3333333333330,48.666666666666700,3946.0,203.0,1.601098442857140,0.0,1.5863240000000000,283895.0,9102.0,46925.0,7793.0,54825.0
2021-01-09,202101,IA,19,-11.285714285714300,4.857142857142860,-5.285714285714290,-21.142857142857100,-16.285714285714300,8.142857142857140,116.81714285714300,593.0,3.0,575.1016,516.0056,597.2119,472.21270000000000,558.6962,461.5188,663.4442000000000,546.0914,901.4228,745.2735,558.7972,456.9459,551.0648,454.7016,696.3598,575.8819,905.8651,719.5973000000000,785.8559,612.8275,739.9616000000000,576.9745,672.9998,545.0881000000000,649.8488,533.7887,0.0,0.0,3.6805612142857100,20.0142934,86.25433861428570,11.363488657142900,35.92148442857140,,10.7,8571.0,11045.0,19616.0,364.0,805.0,181.0,11889.0,0.0,729.6666666666670,85.33333333333330,4127.0,181.0,1.3605477428571400,0.0,1.4533073571428600,296171.0,12276.0,65205.0,9952.0,75461.0
2021-01-16,202102,IA,19,-16.857142857142900,0.7142857142857140,-8.0,-24.714285714285700,-19.428571428571400,9.285714285714290,111.1657142857140,532.0,6.0,585.1708,505.3114,588.5142000000000,449.7164,549.4764,441.4415,670.9843,537.8269,930.3275000000000,754.7821000000000,554.3685000000000,439.2346,540.8261000000000,434.4258,697.5349000000000,562.6761,948.1716000000000,734.9914000000000,804.2537,610.3128,752.5037,567.5428000000000,684.3031000000000,537.9883,652.552,522.0433,102658.0,11559.0,7.064194242857140,22.37520997142860,88.57293588571430,10.223169314285700,34.87319264285710,,16.8,6590.0,12603.0,19193.0,246.0,637.0,194.0,10217.0,0.0,699.3333333333330,50.666666666666700,4321.0,194.0,1.4220808714285700,0.0,1.4063996428571400,304748.0,8577.0,60165.0,7469.0,67862.0
2021-01-23,202103,IA,19,-14.285714285714300,0.2857142857142860,-7.714285714285710,-24.285714285714300,-18.285714285714300,8.0,118.46571428571400,451.0,1.0,645.5025000000000,535.1592,635.1414,470.93460000000000,595.509,461.5096,734.1124,567.7613,1060.7567000000000,835.7675,592.4237,454.2427,578.8542,449.7013,773.4072,602.158,1082.7476,812.9628,901.2071000000000,662.5313,810.5154,588.7086000000000,734.0039,556.698,719.2475,556.5126,122588.0,16854.0,9.588257114285720,22.143345785714300,88.15756644285720,9.691272514285710,35.856245585714300,,19.1,5746.0,11988.0,17734.0,258.0,599.0,166.0,7869.0,0.0,701.3333333333330,45.333333333333300,4486.0,165.0,1.0703035428571400,0.0,1.0880815428571400,312622.0,7874.0,60325.0,6476.0,67029.0
2021-01-30,202104,IA,19,-22.0,-3.4285714285714300,-16.714285714285700,-28.0,-19.714285714285700,10.0,104.00857142857100,371.0,4.0,500.8976,433.09890000000000,504.47430000000000,382.2275,465.57710000000000,368.09410000000000,565.0812000000000,448.2565,814.1294,661.4543,467.79420000000000,365.6286,451.4019,358.3898,597.5722000000000,476.722,828.7549000000000,643.9202000000000,701.2247,532.75,644.7676,479.64480000000000,583.7327,454.18580000000000,556.7346,441.2505,127870.0,46785.0,11.483978471428600,16.190457442857100,86.98098621428570,10.3825292,33.71434487142860,,9.9,4785.0,14004.0,18789.0,239.0,562.0,164.0,8277.0,0.0,607.0,0.0,4651.0,165.0,1.1881761285714300,0.0,1.1732478,319110.0,6488.0,56528.0,5501.0,62218.0
2021-02-06,202105,IA,19,-21.714285714285700,-1.8571428571428600,-21.0,-27.285714285714300,-19.857142857142900,9.714285714285710,106.95714285714300,365.0,1.0,497.13570000000000,420.11160000000000,497.4006,371.6649,467.6086,362.2061,560.9556,435.57270000000000,787.7821,625.9405000000000,473.49110000000000,363.7471,448.2588,349.0598,591.2234,461.6779,802.496,609.8538,691.2764,515.3392,637.8796,466.1448,580.0687000000000,443.25880000000000,550.0354,427.18020000000000,215693.0,74252.0,13.948132557142900,15.565307828571400,86.75644035714290,9.383059428571430,38.93035224285720,,9.9,4001.0,10810.0,14811.0,214.0,570.0,457.0,11607.0,0.0,616.6666666666670,0.0,5108.0,457.0,1.2106435714285700,0.0,1.2663643714285700,324306.0,5196.0,51159.0,4571.0,55894.0
2021-02-13,202106,IA,19,-20.0,0.2857142857142860,-29.857142857142900,-26.285714285714300,-17.571428571428600,8.714285714285710,110.89571428571400,278.0,1.0,584.7447000000000,507.15810000000000,580.3122,445.731,542.3406,431.19670000000000,668.1099,531.9516,931.7544,757.1772000000000,543.9902,427.35220000000000,529.1954000000000,423.62480000000000,700.1501000000000,560.7437,949.6613,738.7430000000000,803.6788,612.6622,734.0088000000000,551.7552000000000,668.4925,522.7946000000000,649.0994000000000,516.9635,299032.0,104622.0,18.29479535714290,16.095067914285700,86.89939625714290,9.659802928571430,38.28977427142860,,6.1,3451.0,9819.0,13270.0,215.0,449.0,128.0,8123.0,0.0,586.3333333333330,0.0,5236.0,128.0,1.1436004714285700,0.0,1.1550329285714300,329039.0,4733.0,49268.0,4017.0,53405.0
2021-02-20,202107,IA,19,-15.142857142857100,0.8571428571428570,-21.714285714285700,-26.714285714285700,-18.714285714285700,8.571428571428570,115.89857142857100,283.0,4.0,680.7328,588.7185,664.5033,508.71660000000000,650.8454000000000,515.2628,786.0267000000000,620.5803000000000,1079.377,868.6116,635.6702,499.0149,640.227,508.55350000000000,820.9487,652.8863,1086.315,837.5419000000000,925.2513000000000,700.7866,822.0536,615.0924,769.9969,600.2381,764.8506,605.1123,411926.0,134995.0,24.15601207142860,15.454943842857100,74.30896541428570,9.684717085714290,38.57800615714290,,7.6,2580.0,16694.0,19274.0,176.0,398.0,100.0,7516.0,0.0,636.0,3.3333333333333300,5336.0,100.0,0.9337128857142860,0.0,0.9485017857142860,332182.0,3143.0,45079.0,3094.0,48292.0
2021-02-27,202108,IA,19,-10.142857142857100,4.0,0.2857142857142860,-18.285714285714300,-15.285714285714300,6.285714285714290,124.74714285714300,249.0,0.0,735.6624000000000,633.4603,722.2437,552.76,707.0795,555.7322,838.0817,660.9384,1163.2298,938.8054000000000,695.0459000000000,543.7898,688.5456000000000,543.3993,876.3799000000000,696.4568000000000,1174.5082,907.9364,989.4796000000000,750.7149000000000,904.4704,680.2099000000000,841.8927000000000,656.5232000000000,823.2514000000000,649.3046000000000,515659.0,160663.0,27.134115500000000,13.754348185714300,0.0,11.456185200000000,42.49583744285720,,6.9,2778.0,10622.0,13400.0,158.0,371.0,134.0,6038.0,0.0,567.3333333333330,0.0,5470.0,134.0,1.2140684285714300,0.0,1.2345180857142900,336282.0,4100.0,50518.0,3227.0,53897.0
2021-03-06,202109,IA,19,-3.0,10.857142857142900,21.142857142857100,-12.0,-14.714285714285700,5.142857142857140,132.76285714285700,221.0,0.0,871.3284000000000,725.1565,853.5297000000000,634.4723,827.0225,631.9863,979.3117,753.7963,1354.0526,1077.1467,822.7207,625.5924,805.9089,618.0309000000000,1018.9807,792.184,1370.4357,1041.2285000000000,1179.6133,874.9303,1072.6849,787.7732,987.7067,747.7678,962.9349,741.0054,607257.0,216336.0,34.656045514285700,17.341968942857100,0.0,13.3264517,49.113650300000000,,2.3,2383.0,10856.0,13239.0,86.0,293.0,82.0,5030.0,0.0,603.3333333333330,0.0,5552.0,82.0,0.7988115142857140,0.0,0.8311219857142860,339529.0,3247.0,48707.0,2833.0,51766.0
2021-03-13,202110,IA,19,-0.8571428571428570,11.857142857142900,54.285714285714300,-9.285714285714290,-15.285714285714300,4.571428571428570,114.49285714285700,225.0,2.0,895.7581,786.9912000000000,880.4728,679.6864000000000,853.8526000000000,677.4961,1038.8765,822.9565,1498.8059,1192.6526000000000,848.1292000000000,670.7229,830.6107,660.2352,1087.1651,865.6542,1507.6164,1157.109,1263.7521,965.1452000000000,1136.6639,868.1343000000000,1042.7147,819.039,1017.2412000000000,804.4899,734296.0,340483.0,36.60676957142860,11.775868885714300,0.0,6.140540942857140,26.502077828571400,,6.9,257.0,1299.0,1556.0,6.0,35.0,6.0,-319780.0,0.0,544.0,0.0,5633.0,81.0,0.9735747142857140,0.0,0.9775103857142860,342705.0,3176.0,49813.0,2830.0,52925.0
2021-03-20,202111,IA,19,0.42857142857142900,9.142857142857140,16.714285714285700,-10.857142857142900,-21.285714285714300,5.857142857142860,139.70428571428600,229.0,0.0,1004.5429000000000,878.2617,1026.8294,787.2794,986.5335,776.4111,1206.8468,929.533,1727.8020000000000,1280.0661,976.5057000000000,769.3740000000000,968.608,763.8092,1269.0964,980.7052000000000,1731.3213,1233.4524,1435.3515,1056.1268,1310.5017,979.3963000000000,1214.1507,942.9643,1171.4059,903.7193000000000,813481.0,435843.0,45.04712611428570,10.986990542857100,0.0,0.0,0.0,,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,5674.0,41.0,0.7937204714285720,0.0,0.8633730285714290,345642.0,2937.0,43012.0,2647.0,45842.0
2021-03-27,202112,IA,19,2.2857142857142900,10.857142857142900,23.571428571428600,-7.857142857142860,-14.571428571428600,4.571428571428570,144.72714285714300,235.0,10.0,912.624,848.7960000000000,961.4,745.633,915.4878000000000,739.458,1100.1193,888.6488000000000,1538.1923000000000,1280.3623,921.0011,735.0751,891.4763,721.3617,1157.8925,944.5736,1541.1512,1224.7168,1317.3489,1027.7317000000000,1213.4811,931.0193000000000,1115.8222,891.8736000000000,1078.8434000000000,872.2265,921441.0,508003.0,50.46506384285720,11.256941942857100,0.0,0.0,0.0,,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,5718.0,44.0,0.9027351857142860,0.0,0.8674421428571430,349554.0,3912.0,46884.0,3261.0,50264.0
