epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness
202150,SD,46,8.428571428571429,18.142857142857142,16.0,8.142857142857142,-6.857142857142857,3.2857142857142856,242.0,2.0,614968.0,498232.0,,194.66666666666663,30.0,2433.0,35.0,173655.0,2407.0,11443.0,1571.0,13024.0,4.01,0.28500000000000003,6.74,2.2457142857142856,3.4642857142857144,3.698571428571429,3.0100000000000002,4.025714285714286,0.63,1.1742857142857144,1.4142857142857144,0.28,,0.3233333333333333
202151,SD,46,1.0,21.714285714285715,26.714285714285715,4.714285714285714,-30.285714285714285,6.142857142857143,210.0,27.0,623122.0,502555.0,,183.33333333333331,18.666666666666668,2456.0,23.0,175677.0,2022.0,11012.0,1680.0,12703.0,4.691428571428572,0.36,7.964285714285714,2.6457142857142855,3.382857142857143,3.5500000000000003,3.3628571428571425,4.481428571428571,0.6085714285714285,1.1785714285714286,1.3871428571428572,0.4,0.33,0.33499999999999996
202152,SD,46,-2.7142857142857144,7.142857142857143,2.142857142857143,0.0,-33.42857142857143,10.142857142857142,207.0,30.0,628500.0,505847.0,,203.33333333333331,39.333333333333336,2486.0,32.0,179204.0,3527.0,13212.0,3852.0,17070.0,5.731428571428571,0.378,10.074285714285713,3.197142857142857,3.972857142857143,3.8328571428571427,3.757142857142857,4.852857142857142,0.7471428571428572,1.3514285714285716,1.5885714285714285,0.3666666666666667,,0.434
202201,SD,46,-8.0,5.285714285714286,-1.5714285714285714,-2.142857142857143,-12.714285714285714,7.571428571428571,276.0,22.0,633770.0,509046.0,,214.66666666666663,47.66666666666666,2522.0,36.0,189411.0,10207.0,15037.0,6792.0,21845.0,6.1571428571428575,0.4414285714285714,9.825714285714286,3.312857142857143,4.164285714285715,4.367142857142857,3.212857142857143,4.384285714285714,0.7914285714285715,1.4442857142857142,1.5571428571428572,,0.46,0.36
202202,SD,46,-8.428571428571429,6.428571428571429,16.714285714285715,-3.5714285714285716,-12.428571428571429,6.714285714285714,423.0,26.0,639755.0,512500.0,,222.66666666666663,55.66666666666666,2559.0,37.0,203137.0,13726.0,14817.0,8755.0,23618.0,6.361428571428571,0.44857142857142857,9.672857142857143,3.1942857142857144,3.9785714285714286,4.177142857142857,3.1357142857142857,4.274285714285715,0.7457142857142857,1.3457142857142856,1.6085714285714285,0.34,,0.4283333333333333
202203,SD,46,-7.714285714285714,3.4285714285714284,13.285714285714286,0.8571428571428571,-13.0,6.428571428571429,505.0,18.0,648456.0,517427.0,,204.0,38.0,2601.0,42.0,216656.0,13519.0,11537.0,6929.0,18497.0,5.538571428571428,0.4928571428571429,7.811428571428571,2.81,3.8985714285714286,4.095714285714285,3.0042857142857144,4.144285714285714,0.7014285714285714,1.3785714285714286,1.5614285714285714,0.27,,0.425
202204,SD,46,-6.714285714285714,2.7142857142857144,14.142857142857142,2.0,-8.285714285714286,4.714285714285714,428.0,11.0,652389.0,520038.0,,211.33333333333331,41.333333333333336,2637.0,36.0,225383.0,8727.0,9024.0,3803.0,12850.0,4.461428571428572,0.368,6.357142857142857,2.295714285714286,3.7528571428571427,4.124285714285714,2.9185714285714286,4.105714285714286,0.7342857142857142,1.2885714285714285,1.51,0.2875,,0.49499999999999994
202205,SD,46,-3.0,6.428571428571429,18.0,3.7142857142857144,-7.142857142857143,4.285714285714286,322.0,10.0,655643.0,522776.0,,203.66666666666663,32.666666666666664,2687.0,50.0,230240.0,4857.0,6999.0,2027.0,9034.0,3.7671428571428573,0.315,5.2371428571428575,1.93,3.455714285714286,4.154285714285714,2.782857142857143,4.07,0.6585714285714286,1.2142857142857142,1.4628571428571429,,,0.43285714285714283
202206,SD,46,-1.8571428571428572,10.0,23.0,5.285714285714286,-6.571428571428571,3.2857142857142856,246.0,19.0,658334.0,525313.0,,199.66666666666663,32.666666666666664,2730.0,43.0,232725.0,2485.0,6332.0,1124.0,7459.0,3.682857142857143,,4.892857142857143,1.9328571428571428,3.46,4.144285714285714,3.005714285714286,4.49,0.6514285714285714,1.3157142857142858,1.467142857142857,0.3233333333333333,,0.42
202207,SD,46,-1.0,10.571428571428571,23.571428571428573,8.142857142857142,-7.714285714285714,2.857142857142857,151.0,14.0,660707.0,527529.0,,210.33333333333331,39.333333333333336,2772.0,42.0,234961.0,2236.0,5890.0,716.0,6612.0,3.572857142857143,0.31,4.865714285714286,1.9242857142857142,3.5985714285714288,4.041428571428571,3.164285714285714,4.601428571428571,0.6757142857142858,1.2714285714285716,1.6014285714285716,0.30000000000000004,0.30000000000000004,0.4033333333333333
202208,SD,46,-5.857142857142857,1.2857142857142858,11.714285714285714,4.857142857142857,-12.0,5.428571428571429,126.0,15.0,662338.0,529206.0,,153.0,0.0,2802.0,30.0,235787.0,826.0,5127.0,410.0,5543.0,3.3714285714285714,,4.652857142857143,1.8542857142857143,3.41,3.9614285714285713,3.1,4.382857142857143,0.6185714285714285,1.1414285714285715,1.4642857142857142,0.34,,0.4
202209,SD,46,0.14285714285714285,7.0,37.42857142857143,8.428571428571429,-5.0,2.5714285714285716,84.0,34.0,663802.0,530894.0,,142.0,0.0,2827.0,25.0,236276.0,489.0,5012.0,280.0,5292.0,3.012857142857143,,4.434285714285714,1.7042857142857142,3.4185714285714286,3.9957142857142856,3.1885714285714286,4.5442857142857145,0.7314285714285714,1.1985714285714286,1.6342857142857141,0.36,0.31999999999999995,0.40714285714285714
202210,SD,46,-1.4285714285714286,3.857142857142857,19.714285714285715,11.0,-5.428571428571429,3.5714285714285716,61.0,15.0,665261.0,532321.0,,163.0,1.3333333333333333,2853.0,26.0,236602.0,326.0,4318.0,181.0,4503.0,2.972857142857143,,4.5200000000000005,1.7042857142857142,3.4514285714285715,3.9899999999999998,2.994285714285714,4.55,0.6085714285714285,1.1714285714285713,1.5614285714285714,0.31,0.28,0.4083333333333334
