epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,ili
202238,WI,55,0,9.142857143,133.1428571,6.285714286,-14,1.285714286,545,4,4275404,3890833,,1077.333333,40.33333333,15220,30,1859978,8092,58857,6418,65385,1.15712
202239,WI,55,-0.571428571,9.857142857,121,1.142857143,-13.28571429,1.428571429,487,1,4281697,3896909,,1043.666667,9.333333333,15263,43,1866634,6656,55333,5546,60963,1.05793
202240,WI,55,0.142857143,12.28571429,123.5714286,-0.571428571,-12.42857143,1.571428571,550,1,4287712,3903849,,1013.666667,4,15303,40,1873748,7114,52741,5604,58428,1.10064
202241,WI,55,-2.428571429,9.428571429,99.85714286,-3.142857143,-13.28571429,2.142857143,595,6,4294791,3910260,,959,0,15352,49,1880831,7083,51312,5605,56999,1.23614
202242,WI,55,,,,,,,546,8,4301708,3916525,,,,15398,46,1888012,7181,45193,4992,50277,1.60693
202243,WI,55,,,,,,,636,15,4301708,3916525,,,,15460,62,1895475,7463,38098,4382,42531,1.91138
202001,WY,56,,,,,,,,,,,,144,56,,,,,,,,3.64212
202002,WY,56,,,,,,,,,,,,81,0,,,,,,,,4.03179
202003,WY,56,,,,,,,,,,,,103,15,,,,,,,,5.00798
202004,WY,56,,,,,,,,,,,,96,9,0,0,0,0,,,,6.13367
202005,WY,56,,,,,,,,,,,,94,7,0,0,0,0,,,,6.70286
202006,WY,56,,,,,,,,,,,,97,9,0,0,0,0,,,,5.95056
202007,WY,56,4,3,1,-5,1,0,,,,,,75,0,0,0,0,0,,,,5.04111
202008,WY,56,3.428571429,4.142857143,5.285714286,4.714285714,-1.571428571,0.714285714,,,,,,101,14,0,0,0,0,,,,4.47298
202009,WY,56,6.428571429,7.857142857,5.285714286,6.285714286,2.142857143,-0.285714286,,,,,,100,12,0,0,0,0,,,,4.00174
202010,WY,56,8.142857143,10.85714286,11.14285714,0.857142857,3,-0.714285714,,,,,,80,0,0,0,0,0,,,,2.46396
202011,WY,56,4.428571429,18.85714286,5.714285714,6.714285714,0.857142857,0.428571429,,,,,,85,0,0,0,2,2,,,,3.25803
202012,WY,56,-18.71428571,16.14285714,4.857142857,-3,-20,8.142857143,,,,,,117,33,0,0,23,21,,,,4.86851
202013,WY,56,-36.28571429,-5.285714286,7.571428571,-10,-31.85714286,12.71428571,,,,,,88,6,0,0,82,59,0,1,1,3.4965
202014,WY,56,-36.42857143,-8,1.714285714,-11.71428571,-34.71428571,13.57142857,,,,,,123,41,0,0,187,105,0,0,0,2.49781
202015,WY,56,-34.42857143,-4.428571429,18.71428571,-14.14285714,-35.71428571,13.14285714,,,,,,101.6666667,19.66666667,0,0,261,74,5655,276,5936,1.61751
202016,WY,56,-39,-15.85714286,-18.42857143,-21.28571429,-35,14.71428571,,,,,,88.66666667,6.666666667,2,2,309,48,888,32,921,1.00671
202017,WY,56,-26.42857143,-5.428571429,28.14285714,-9.142857143,-32,12,,,,,,96.66666667,14.66666667,7,5,491,182,1133,32,1170,1.65996
202018,WY,56,-20.71428571,0.142857143,46.57142857,-3.714285714,-30.57142857,9.142857143,,,,,,68,0,7,0,579,88,1849,86,1936,0.825243
202019,WY,56,-16.14285714,4.857142857,38.28571429,0.857142857,-26.42857143,9,,,,,,83,3,7,0,653,74,3700,117,3822,0.869565
202020,WY,56,-12.14285714,6.428571429,46.57142857,4.857142857,-24.28571429,8.142857143,,,,,,100.6666667,20.66666667,7,0,741,88,11894,568,12474,1.05441
202021,WY,56,-2.714285714,10.71428571,99.28571429,15.42857143,-23,5.857142857,,,,,,95,16,12,5,813,72,5597,170,5777,0.448248
202022,WY,56,-1.857142857,14.85714286,135.2857143,18,-26.71428571,5.714285714,,,,,,83,5,16,4,898,85,3870,89,3964,0.327715
202023,WY,56,3.714285714,18.71428571,146,22.14285714,-18.85714286,4,,,,,,104.6666667,27.66666667,17,1,939,41,5989,101,6096,0.314713
202024,WY,56,5.428571429,19.71428571,172.8571429,26.85714286,-19,3.571428571,,,,,,95.33333333,19.33333333,18,1,1050,111,2860,134,2994,0.582121
202025,WY,56,10,25.28571429,222.8333333,32.71428571,-19,2.285714286,,,,,,92.33333333,15.33333333,20,2,1179,129,8569,124,8691,0.518711
202026,WY,56,10.42857143,28,271.1666667,38.28571429,-19.57142857,2.142857143,,,,,,89,12,20,0,1392,213,6185,148,6333,0.357143
202027,WY,56,14.57142857,37,296.1666667,44.57142857,-25.42857143,2.571428571,,,,,,102,25,20,0,1606,214,5884,147,6035,0.277393
202028,WY,56,14.71428571,32.42857143,313,40.57142857,-21.71428571,2.142857143,,,,,,103.6666667,27.66666667,21,1,1839,233,5683,195,5886,0.238284
202029,WY,56,13.85714286,31.71428571,313,40.85714286,-20.42857143,2.285714286,10,,,,,100,22,24,3,2108,269,11041,392,11440,0.0982318
202030,WY,56,13.85714286,31.28571429,324.8333333,41.42857143,-21,2.285714286,16,,,,,94.66666667,14.66666667,25,3,2446,338,8164,359,8530,0.0951022
202031,WY,56,14,29.85714286,314.6666667,40.85714286,-20.57142857,2.285714286,83,,,,,89.66666667,11.66666667,26,1,2769,323,5335,218,5562,0.268577
202032,WY,56,16.14285714,32.42857143,325.5,44.42857143,-20.42857143,1.714285714,70,,,,,104.6666667,27.66666667,28,2,3015,246,4770,167,4939,0.0453309
202033,WY,56,15.14285714,30.71428571,326,50.71428571,-21,1.285714286,50,,,,,112.3333333,34.33333333,30,2,3227,228,2929,98,3029,0.18018
202034,WY,56,11.57142857,25.42857143,309,47.71428571,-19.57142857,1.428571429,40,,,,,99.33333333,22.33333333,37,7,3543,316,7823,327,8171,0.127334
202035,WY,56,6.714285714,21,,36.14285714,-18.14285714,1.571428571,37,,,,,89,11,37,0,3795,268,16828,241,17080,0.267857
202036,WY,56,8.285714286,24.14285714,,37.42857143,-19.42857143,0.714285714,46,,,,,105.6666667,27.66666667,42,5,3990,195,8026,72,8099,0.456853
202037,WY,56,3.714285714,17,241,23.66666667,-26.14285714,2.857142857,50,,,,,120.6666667,42.66666667,42,0,4297,307,16602,551,17175,0.751073
202038,WY,56,5.142857143,17,243.4285714,35.14285714,-15.85714286,0.142857143,38,,,,,93.33333333,15.33333333,49,9,4781,484,11321,377,11701,0.741962
202039,WY,56,1.714285714,14,196.2857143,30.28571429,-15.42857143,1.428571429,60,,,,,111.6666667,32.66666667,50,1,5465,684,12832,608,13444,1.25847
202040,WY,56,0.285714286,13,153.7142857,28.14285714,-14.71428571,1,80,,,,,117.3333333,39.33333333,53,3,6365,900,14416,623,15050,0.86492
202041,WY,56,-1.714285714,10.71428571,141.2857143,26.85714286,-14.85714286,1,99,,,,,100,21,54,1,7455,1090,17628,906,18551,0.568855
202042,WY,56,-5.714285714,5.142857143,85,21.14285714,-16.57142857,3.428571429,124,0,,,,102.6666667,23.66666667,57,3,8816,1361,19958,1077,21040,0.688137
202043,WY,56,-10.14285714,1.428571429,41.85714286,14.71428571,-15.71428571,4.285714286,157,0,,,,123.6666667,43.66666667,68,11,10805,1989,22427,2036,24473,0.652529
202044,WY,56,-12.85714286,-2.857142857,18.85714286,6.714285714,-16.57142857,4.714285714,134,1,,,,104.3333333,24.33333333,87,19,13298,2493,16642,1953,18603,1.01626
202045,WY,56,-10.71428571,-3.142857143,31.85714286,6.857142857,-16.14285714,4.142857143,176,0,,,,122.6666667,41.66666667,114,35,16597,3299,39436,4242,43708,0.597229
202046,WY,56,-19,-8.857142857,-11.42857143,-4.285714286,-19.14285714,7.571428571,209,0,,,,120.3333333,37.33333333,144,30,21881,5284,26280,4210,30508,1.13717
202047,WY,56,-17.28571429,-5.428571429,-0.285714286,3.142857143,-18.42857143,6.714285714,255,0,,,,123,39,176,32,27410,5529,33303,5429,38757,0.608788
202048,WY,56,-23,-5.285714286,-2.142857143,-9,-35.85714286,10.28571429,235,0,,,,125,40,215,39,31928,4518,27698,4132,31852,0.749197
202049,WY,56,-15.57142857,-4.857142857,-3.428571429,-1,-16,6.142857143,245,0,,,,107.6666667,24.66666667,266,51,35941,4013,19714,3166,22898,0.92397
202050,WY,56,-16.71428571,-5.428571429,-4.285714286,-2.857142857,-15.14285714,6.285714286,232,0,,,,128.3333333,41.33333333,321,55,38907,2966,20987,2311,23311,1.07618
202051,WY,56,-14.42857143,-0.571428571,-11.85714286,-0.428571429,-15.28571429,6,188,0,0,0,,150.3333333,63.33333333,351,30,41488,2581,22448,2041,24499,0.79929
202052,WY,56,-19.14285714,0,-8,-14.42857143,-37.71428571,10.28571429,154,0,0,0,,117.3333333,28.33333333,373,22,43146,1658,18326,1247,19584,0.714286
202053,WY,56,-17.42857143,-5.857142857,-4.142857143,-12.28571429,-35.71428571,11,134,0,0,0,,119,30,438,65,44573,1427,21009,1259,22280,0.694746
202101,WY,56,-16,-6,-10.14285714,-5.571428571,-14.85714286,6.428571429,115,0,0,0,,116.3333333,27.33333333,489,51,46719,2146,14165,1126,15306,0.954654
202102,WY,56,-18.14285714,-9.571428571,-10.28571429,-7.285714286,-15,6,118,12,0,0,,102.6666667,13.33333333,522,33,49068,2349,18467,1778,20261,1.04397
202103,WY,56,-19.71428571,-11.71428571,-11.28571429,-7.857142857,-17.85714286,6.571428571,86,0,0,0,,103.3333333,14,571,49,50583,1515,18652,1208,19881,0.846354
202104,WY,56,-19,-11.42857143,-8.142857143,-8.571428571,-14.42857143,5.714285714,73,0,0,0,,112.6666667,22.66666667,596,25,51704,1121,16462,1074,17548,0.520664
202105,WY,56,-16.85714286,-7.571428571,-4.857142857,-11.28571429,-13.57142857,5.428571429,62,0,0,0,,106.3333333,17.33333333,624,28,52618,914,15418,529,15960,0.449727
