epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202005,ID,16,,,,,,,109.38,,,,,,,,,,249,0,0,0,,,0,0,,,
202006,ID,16,,,,,,,110.3885714,,,,,,,,,,292,0,0,0,,,0,0,,,
202007,ID,16,3,3,7,0,-1,0,121.3514286,,,,,,,,,,279,0,0,0,,,0,0,,,
202008,ID,16,5.571428571,3.428571429,24,5.571428571,-2.285714286,0.1428571429,124.1271429,,,,,,,,,,318,15,0,0,,,0,0,,,
202009,ID,16,8.857142857,7,31.85714286,8.428571429,3.285714286,-1.428571429,125.4314286,,,,,,,,,,290,0,0,0,,,0,0,,,
202010,ID,16,10.71428571,12.14285714,35.71428571,9.285714286,3.714285714,-1.428571429,126.68,,,,,,,,,,278,0,0,0,,,0,0,162,5,167
202011,ID,16,7,19.14285714,43.57142857,6.142857143,2.428571429,-0.5714285714,120.29,,,,,,,,,,282,0,0,0,,,2,2,290,2,300
202012,ID,16,-11.42857143,18,62.14285714,-6.142857143,-18.14285714,6.714285714,98.95142857,,,,,,,,,,308,13,0,0,,,42,40,1691,74,1772
202013,ID,16,-32.71428571,-4.571428571,40.57142857,-21.71428571,-35.57142857,12.57142857,77.46142857,,,,,,,,,,329.6666667,34.66666667,4,4,,,234,192,7091,510,7602
202014,ID,16,-39.42857143,-12,17.14285714,-30.71428571,-41.85714286,15.28571429,72.43285714,,,,,,,,,,268.3333333,0,10,6,,,1022,788,12459,1685,14147
202015,ID,16,-35.14285714,-6,66.71428571,-30.14285714,-42.57142857,13.85714286,79.16142857,,,,,,,,,,298.6666667,6,25,15,0.8468722667,0.9385890833,1396,374,8993,592,9604
202016,ID,16,-32.85714286,-8.857142857,56.28571429,-30.14285714,-40.14285714,13.14285714,85.42857143,,,,,,,,,,279,0,43,18,0.9269101667,0.9177611167,1655,259,7009,312,7322
202017,ID,16,-25.71428571,-3.571428571,82.57142857,-22.71428571,-37.71428571,12,97.42571429,,,,,,,,,,258,0,56,13,0.8104895286,0.7474282571,1887,232,5564,278,5848
202018,ID,16,-20.14285714,1.142857143,104.8571429,-16.14285714,-36.14285714,9,107.9614286,,,,,,,,,,250.3333333,0,64,8,0.5193162286,0.5082328286,2061,174,5482,235,5725
202019,ID,16,-13.71428571,9.571428571,112.3333333,-10.28571429,-32,8.571428571,121.8271429,,,,,,,,,,302.3333333,10.33333333,67,3,0.7055484429,0.6849341143,2205,144,5820,275,6097
202020,ID,16,-13.71428571,9.285714286,109.1666667,-7.142857143,-29.85714286,8,132.84,,,,,,,,,,267.3333333,0,73,8,0.3857556143,0.3863806429,2419,214,6669,220,6895
202021,ID,16,-5,9.571428571,87,0.2857142857,-27.57142857,7.571428571,148.3171429,,,,,,,,,,259.6666667,0,79,6,0.3741898571,0.3829604714,2595,176,7205,240,7446
202022,ID,16,-1.714285714,14.14285714,221.6666667,7.428571429,-30.57142857,5.571428571,164.8942857,,,,,,,,,,278,0,82,3,0.5297065429,0.5566387429,2803,208,6935,272,7207
202023,ID,16,2.857142857,14,196.1666667,9.857142857,-22.57142857,4.142857143,172.6028571,,,,,,,,,,293.3333333,4.333333333,83,1,0.4667403714,0.4172591286,3139,336,7143,352,7502
202024,ID,16,1.857142857,11.57142857,163.6666667,8.142857143,-22.85714286,4.857142857,184.6871429,,,,,,,,,,284.6666667,1.333333333,87,4,0.2231229857,0.3123531143,3353,214,9079,271,9351
202025,ID,16,5.428571429,15,180.5,14.57142857,-22.57142857,3.571428571,201.53,,,,,,,,,,282,0,89,2,0.6902241143,0.7208143571,4004,651,11566,895,12463
202026,ID,16,5.714285714,17.28571429,263.1666667,18.28571429,-23.71428571,2.285714286,216.2285714,,,,,,,,,,294.3333333,11.33333333,91,2,0.665229,0.6619982857,5322,1322,18050,2302,20355
202027,ID,16,4.714285714,22.85714286,215.1666667,18.57142857,-30.28571429,3.857142857,214.2614286,,,,,,,,,,279.6666667,0,93,2,0.6195948714,0.6258679143,7370,2048,20498,4141,24660
